"Player","WS/48","Composite.Rating","Age","Is.Big","Is.Guard"
"Jordan McLaughlin",0.13,-0.36973939739055,5,0,1
"Manny Harris",0.002,-0.406911186977406,3,0,1
"Dwight Powell",0.122,-0.258224028629982,5,1,0
"Ty Jerome",-0.001,-0.555598345324831,4,0,1
"Donovan Mitchell",0.095,0.150665656825434,3,0,1
"Chris Taft",0.155,0.0763220776517221,2,1,0
"Mike Sweetney",0.138,-0.109536870282558,3,1,0
"James Robinson",-0.006,-1.18751876830138,10,0,1
"Jerome Dyson",0.026,-0.18388044945627,6,0,1
"James Johnson",0.054,-0.555598345324831,4,1,0
"Chris Richard",0.037,-0.444082976564262,5,1,0
"Bernard Robinson",0.037,-1.33620592664881,6,0,1
"Hollis Thompson",0.055,-1.67075203293051,4,0,0
"Xavier RathanMayes",-0.171,-0.444082976564262,5,0,1
"Johnny OBryant",-0.063,-0.295395818216838,3,1,0
"Klay Thompson",0.05,-1.0016598203671,3,0,1
"Jodie Meeks",0.06,-0.964488030780247,4,0,1
"Chris Chiozza",0.076,-0.667113714085399,6,0,1
"Gorgui Dieng",0.129,-1.41054950582252,6,1,0
"Jeff Teague",0.042,-0.890144451606535,3,0,1
"Jared Reiner",-0.013,-0.36973939739055,4,1,0
"Ryan Arcidiacono",0.04,-0.890144451606535,5,0,1
"Daniel Gafford",0.146,-0.18388044945627,3,1,0
"Terrence Williams",-0.007,-0.481254766151118,4,0,0
"Ben McLemore",0.016,-0.36973939739055,2,0,1
"Robert Whaley",0.004,-0.109536870282558,5,1,0
"Andrew White",-0.034,-0.778629082845967,6,0,0
"Chris Wright",0.163,0.00197849847800993,5,0,0
"Kevin Huerter",0.034,-0.815800872432823,2,0,1
"Dejounte Murray",0.004,-0.518426555737975,2,0,1
"Justin Anderson",0.083,-0.629941924498543,4,0,0
"Allan Ray",0.039,-0.295395818216838,4,0,1
"Robert Williams",0.201,-0.741457293259111,3,1,0
"Zach LaVine",-0.018,-0.667113714085399,1,0,1
"Alexander Johnson",0.083,-0.36973939739055,5,1,0
"Jordan Poole",-0.047,-2.5257031934282,2,0,1
"Norman Powell",0.105,-0.815800872432823,4,0,1
"Robbie Hummel",0.084,-1.11317518912767,6,0,0
"Chris DouglasRoberts",0.046,-0.36973939739055,4,0,1
"Cartier Martin",0.07,-0.852972662019679,6,0,0
"Josh Powell",0.079,-1.26186234747509,5,1,0
"Matt Thomas",0.133,-0.778629082845967,7,0,1
"Anthony Brown",-0.024,-0.852972662019679,5,0,0
"Jarvis Varnado",0.114,-1.70792382251737,7,1,0
"Wilson Chandler",0.038,-0.927316241193391,2,0,0
"James Thomas",0.094,-1.29903413706195,6,1,0
"Johnathan Williams",0.135,-0.406911186977406,5,1,0
"Troy Williams",0.032,-0.741457293259111,4,0,0
"Ike Diogu",0.123,-0.741457293259111,4,1,0
"Phil Pressey",0.005,-0.36973939739055,4,0,1
"Travis Wear",-0.02,-0.258224028629982,6,0,0
"Georges Niang",0.123,-1.48489308499623,7,1,0
"Marreese Speights",0.146,-1.07600339954081,3,1,0
"Al Horford",0.103,-0.592770134911686,3,1,0
"Deron Williams",0.059,-0.629941924498543,3,0,1
"Austin Daye",0.067,-0.109536870282558,3,0,0
"Sam Young",0.044,-1.0016598203671,6,0,0
"Francisco Garcia",0.06,-1.48489308499623,6,0,0
"Brandon Paul",0.045,-0.667113714085399,8,0,1
"Okaro White",0.066,-0.444082976564262,6,1,0
"Solomon Hill",0.08,-0.927316241193391,4,0,0
"Jaylen Nowell",0.051,-1.29903413706195,2,0,1
"Evan Turner",0.06,-0.778629082845967,4,0,1
"Patrick Beverley",0.148,-1.67075203293051,6,0,1
"Maurice Ager",-0.06,-0.852972662019679,4,0,1
"Chasson Randle",0.106,-1.18751876830138,5,0,1
"Will Bynum",-0.021,-0.815800872432823,5,0,1
